"id","versjon","fornavn","etternavn","foedselsdato","doedsdato","kjoenn","fylke_id","parti_id","top_words_in_questions","top_tfidf_words_in_questions"
</span><span class=\"size-8\" name=\"antall: 6\">forhold</span><span class=\"size-8\" name=\"antall: 6\">private</span><span class=\"size-8\" name=\"antall: 6\">landet</span><span class=\"size-8\" name=\"antall: 6\">norske</span><span class=\"size-8\" name=\"antall: 6\">bakgrunn</span><span class=\"size-8\" name=\"antall: 6\">Stortinget</span><span class=\"size-8\" name=\"antall: 6\">får</span><span class=\"size-8\" name=\"antall: 5\">andre</span><span class=\"size-8\" name=\"antall: 5\">under</span><span class=\"size-8\" name=\"antall: 5\">nye</span><span class=\"size-8\" name=\"antall: 5\">riktig</span><span class=\"size-8\" name=\"antall: 5\">forbindelse</span><span class=\"size-8\" name=\"antall: 5\">grunn</span><span class=\"size-8\" name=\"antall: 5\">sørge</span><span class=\"size-8\" name=\"antall: 5\">tenkt</span><span class=\"size-8\" name=\"antall: 5\">myndigheter</span><span class=\"size-8\" name=\"antall: 5\">saker</span><span class=\"size-8\" name=\"antall: 5\">vurdere</span><span class=\"size-9\" name=\"antall: 4\">  </span>","<span class=\"size-1\" name=\"tfidf: 0.0421718419312\">gjøre</span><span class=\"size-1\" name=\"tfidf: 0.0421235965592\">utenriksministeren</span><span class=\"size-3\" name=\"tfidf: 0.029823346816\">sikre</span><span class=\"size-5\" name=\"tfidf: 0.0245645570474\">barn</span><span class=\"size-6\" name=\"tfidf: 0.0188231502494\">Norge</span><span class=\"size-6\" name=\"tfidf: 0.0186898746593\">få</span><span class=\"size-6\" name=\"tfidf: 0.0174771408182\">Bergen</span><span class=\"size-7\" name=\"tfidf: 0.0160821005683\">Bryggen</span><span class=\"size-7\" name=\"tfidf: 0.0153348554425\">private</span><span class=\"size-7\" name=\"tfidf: 0.0152453109352\">bidra</span><span class=\"size-7\" name=\"tfidf: 0.0142974187253\">bakgrunn</span><span class=\"size-7\" name=\"tfidf: 0.0141583952679\">tenkt</span><span class=\"size-7\" name=\"tfidf: 0.0135801483726\">ungdommer</span><span class=\"size-7\" name=\"tfidf: 0.0130854486664\">landet</span><span class=\"size-7\" name=\"tfidf: 0.0128139733\">myndigheter</span><span class=\"size-7\" name=\"tfidf: 0.0127924793019\">forhold</span><span class=\"size-8\" name=\"tfidf: 0.0125924840218\">riktig</span><span class=\"size-8\" name=\"tfidf: 0.0125271398646\">norske</span><span class=\"size-8\" name=\"tfidf: 0.012411094835\">får</span><span class=\"size-8\" name=\"tfidf: 0.012329936221\">Stortinget</span><span class=\"size-8\" name=\"tfidf: 0.0121264768031\">barnevernet</span><span class=\"size-8\" name=\"tfidf: 0.0121249525455\">saker</span><span class=\"size-8\" name=\"tfidf: 0.0118429180515\">FNs</span><span class=\"size-8\" name=\"tfidf: 0.0116277788201\">år</span><span class=\"size-8\" name=\"tfidf: 0.0115390114771\">forbindelse</span><span class=\"size-8\" name=\"tfidf: 0.0114377494327\">barnevernsinstitusjoner</span><span class=\"size-8\" name=\"tfidf: 0.0111364576727\">forhindre</span><span class=\"size-8\" name=\"tfidf: 0.0111189402814\">sørge</span><span class=\"size-8\" name=\"tfidf: 0.0110403114507\">vurdere</span>"
"KSWE",NULL,"Karl-Anton","Swensen","1965-10-17 00:00:00","0001-01-01 00:00:00","mann","No","Kp",NULL,NULL
"KTF","1.0","Kjell Terje","Fevåg","1953-03-02 00:00:00","0001-01-01 00:00:00","mann","MR","A",NULL,NULL
"KUAL","1.0","Kurt-Arne","Langeland","1969-08-25 00:00:00","0001-01-01 00:00:00","mann","Ho","KrF",NULL,NULL
"KUMO","1.0","Kurt","Mosbakk","1934-11-21 00:00:00","0001-01-01 00:00:00","mann",NULL,NULL,NULL,NULL
"KVO",NULL,"Knut","Vollebæk","1946-02-11 00:00:00","0001-01-01 00:00:00","mann",NULL,NULL,NULL,NULL
"KWH",NULL,"Knut Werner","Hansen","1951-11-22 00:00:00","0001-01-01 00:00:00","mann","Tr","A",NULL,NULL
"KY",NULL,"Karin","Yrvin","1970-06-20 00:00:00","0001-01-01 00:00:00","kvinne","Os","A","<span class=\"size-1\" name=\"4\">helse</span><span class=\"size-3\" name=\"3\">gjøre</span><span class=\"size-3\" name=\"3\">vold</span><span class=\"size-3\" name=\"3\">sikre</span><span class=\"size-3\" name=\"3\">verdi</span>","<span class=\"size-1\" name=\"0.0722043729284\">adopsjonssøknader</span><span class=\"size-2\" name=\"0.0677727015611\">helse</span><span class=\"size-2\" name=\"0.0630446511033\">vold</span><span class=\"size-2\" name=\"0.060790686723\">seksualitet</span><span class=\"size-3\" name=\"0.0572723616327\">verdi</span><span class=\"size-3\" name=\"0.0529461440609\">kartlegge</span><span class=\"size-3\" name=\"0.0523986552393\">likebehandling</span><span class=\"size-4\" name=\"0.048073456246\">sikre</span><span class=\"size-4\" name=\"0.0449243979448\">psykisk</span><span class=\"size-4\" name=\"0.0443441064302\">gjøre</span><span class=\"size-4\" name=\"0.044081708616\">kunnskap</span><span class=\"size-5\" name=\"0.0379505789457\">utrede/behandle</span><span class=\"size-5\" name=\"0.0379505789457\">agendaen</span><span class=\"size-5\" name=\"0.0379505789457\">2008-2025</span><span class=\"size-5\" name=\"0.0379505789457\">målsette</span><span class=\"size-5\" name=\"0.0379505789457\">abortnemndene</span><span class=\"size-5\" name=\"0.0379505789457\">Ekebergskrenten</span><span class=\"size-5\" name=\"0.0379505789457\">hiv-undervisning</span><span class=\"size-5\" name=\"0.0379505789457\">Østensjøvannområdet</span><span class=\"size-5\" name=\"0.0379505789457\">innebefatter</span><span class=\"size-5\" name=\"0.0379505789457\">kunnskapsoppsummeringer</span><span class=\"size-5\" name=\"0.0379505789457\">miljøindikatorer</span><span class=\"size-5\" name=\"0.0379505789457\">Psykologforening</span><span class=\"size-5\" name=\"0.0379505789457\">Bahrains</span><span class=\"size-5\" name=\"0.037115033131\">nasjonal</span><span class=\"size-5\" name=\"0.0361612022381\">gis</span><span class=\"size-10\" name=\"0.0361021864642\">patriarkalsk</span><span class=\"size-10\" name=\"0.0361021864642\">adopsjonsprosess</span><span class=\"size-10\" name=\"0.0361021864642\">æresrelatert</span>"
"LAAA","1.0","Lars Amandus","Aasgard","1907-05-18 00:00:00","1984-11-04 00:00:00","mann","Ho","KrF",NULL,NULL
"LAAR",NULL,"Lars Arne","Ryssdal","1964-01-17 00:00:00","0001-01-01 00:00:00","mann","Ho","H",NULL,NULL
