id,saker_id,"personer_id"
16615,667,"KTF"
16661,668,"AUG"
16616,669,"GF"
16617,670,"AUG"
16701,671,"SHS"
16569,673,"EOS"
16558,674,"VB"
16559,675,"GUNM"
16650,677,"BJO"
16658,678,"RB"
16730,681,"JMN"
16679,682,"OJB"
16606,683,"RB"
16585,684,"TS"
16600,685,"JMN"
16737,687,"IK"
16660,688,"RTV"
16714,690,"VB"
16659,694,"JIA"
16645,695,"VB"
16680,699,"AHO"
16586,701,"VSH"
16613,702,"ANH"
16702,705,"GUNM"
16677,706,"HBE"
16573,708,"KKF"
16574,709,"ANT"
16575,710,"ANT"
16717,711,"HBL"
16576,712,"HBL"
16716,713,"KMB"
16577,714,"MAA"
16578,715,"KMB"
16743,718,"RTK"
16543,719,"TON"
16706,755,"HBE"
16728,817,"MHG"
16708,818,"KNA"
16611,819,"VSH"
16738,823,"MSO"
16720,824,"RHR"
16723,825,"OTK"
16739,828,"OA"
16691,829,"JOF"
16732,830,"CIH"
16154,835,"ODG"
16741,865,"SHL"
16756,866,"GUNM"
16552,869,"TKV"
16757,903,"LS"
16571,907,"AMN"
16733,914,"EAM"
16655,915,"HE"
16726,916,"IK"
16707,926,"INST"
16690,927,"ROG"
16610,928,"PAN"
16682,929,"AG"
16715,930,"ILH"
16634,931,"LLU"
16687,953,"PAN"
16641,977,"OAS"
16713,978,"HFJ"
16727,985,"MAS"
16664,988,"RNW"
16688,993,"SEN"
16665,994,"OR"
16689,1001,"AMN"
16609,1002,"EOS"
16621,1006,"ERF"
16681,1007,"AHO"
16572,1009,"RUI"
16544,1015,"SIO"
16740,1030,"OA"
16724,1032,"RKB"
16545,1036,"LS"
16685,1037,"ROG"
16675,1056,"MTI"
16676,1057,"EGR"
16598,1062,"PT"
16712,1069,"GF"
16668,1070,"JR"
16719,1071,"ANH"
16686,1093,"AMN"
16612,1094,"ASK"
16581,1099,"HFJ"
16635,1100,"JOH"
16546,1103,"BJO"
16547,1104,"BJO"
16580,1107,"RUI"
16620,1117,"GF"
16711,1120,"PC"
16649,1121,"EOS"
16710,1122,"PC"
16582,1123,"KKF"
16619,1153,"RBJ"
16683,1162,"JIA"
16640,1163,"MN"
16548,1176,"BJO"
16652,1185,"MTI"
16608,1189,"ON"
16636,1190,"JOH"
16709,1191,"AAS"
16653,1193,"DJF"
16583,1197,"MSE"
16584,1198,"MSE"
16549,1202,"TON"
16725,1210,"OTK"
16684,1240,"KE"
16718,1263,"KMB"
16597,1271,"TON"
16607,1283,"PAN"
16639,1284,"HÅWO"
16596,1287,"AAS"
16637,1288,"REK"
16654,1293,"MTI"
16551,1295,"AD"
16550,1297,"BJO"
16579,1300,"KKD"
16666,1301,"TS"
16667,1302,"TS"
16638,1319,"GGF"
16538,1323,"POL"
16602,1324,"OJB"
16563,1325,"TKV"
16566,1326,"TNY"
