id,x,y,"representant_id",analyse_id
1,0.79435087787335401,0.25991540085236692,"BÅH",1
2,-0.49546802606361395,-0.00000000000000006,"LIC",1
3,-0.76011791943780338,0.22687522365571178,"JFC",1
4,-0.38761761371944087,-0.00000000000000009,"TR",1
5,0.86881407019718970,0.32065731648231394,"AGES",1
6,-0.59697513047502937,-0.00000000000000009,"TRUW",1
7,-0.38322441841473259,-0.00000000000000004,"TKK",1
8,-0.29183409190202053,-0.30795774357290967,"BT",1
9,0.71779267990281714,0.16554518774109819,"OYK",1
10,0.82326915830836478,0.25093762112716439,"JF",1
11,0.45364055252239538,-0.27963687863525044,"MIT",1
12,0.82684949907216598,0.27641112855989208,"PB",1
13,0.25636242015349797,-0.90116845932144740,"RAE",1
14,-0.45183942931350846,0.04278242059226640,"RAA",1
15,0.80877091658283273,0.26694932257094811,"HSK",1
16,-0.32066409650408478,0.01660925624738704,"SAG",1
17,0.51970380766246982,-0.25295532523634240,"SAF",1
18,0.89687867053772896,0.36112851182960937,"RE",1
19,-0.29734858748222232,0.02005882365480527,"IOL",1
20,0.50171184490503751,-0.20198589569262143,"AWE",1
21,0.78580923793844903,0.22281782816136833,"CT",1
22,-0.40551471458508476,-0.00000000000000006,"TOVT",1
23,-0.43911604606757576,0.04390936427029157,"JASP",1
24,0.73379602165977675,0.13004804055679675,"KETS",1
25,0.82782197413323400,0.32361777383833507,"IAG",1
26,-0.49546802606361395,-0.00000000000000006,"GEHN",1
27,0.26594586309481977,-0.90508826332784964,"LHH",1
28,0.45364055252239538,-0.27963687863525044,"SONS",1
29,NULL,NULL,"JAE",1
30,-0.49546802606361395,-0.00000000000000006,"MAAA",1
31,-0.40551471458508476,-0.00000000000000006,"THB",1
32,0.71230108695501204,0.13650857023227828,"HAFA",1
33,0.44975838863268652,-0.27872150337948132,"SYG",1
34,0.78067095485100824,0.23740570147602180,"OG",1
35,-0.40551471458508476,-0.00000000000000006,"LAE",1
36,-0.08020150067813324,-0.00000000000000001,"LAG",1
37,-0.38761761371944087,-0.00000000000000009,"SNV",1
38,0.74347368492363253,0.24677686668577306,"OVA",1
39,-0.49546802606361395,-0.00000000000000006,"ALEH",1
40,-0.45183942931350846,0.04278242059226640,"MAM",1
41,0.79348230997776026,0.25845788341107767,"UIL",1
42,-0.50403771285180532,-0.00000000000000007,"IHE",1
43,-0.38322441841473259,-0.00000000000000004,"EVH",1
44,NULL,NULL,"KSW",1
45,-0.40551471458508476,-0.00000000000000006,"GUE",1
46,0.24632797541059662,-0.29495967651587457,"TSG",1
47,-0.38761761371944087,-0.00000000000000009,"DTA",1
48,-0.49546802606361395,-0.00000000000000006,"HAKH",1
49,-0.38322441841473259,-0.00000000000000004,"JBO",1
50,-0.38761761371944087,-0.00000000000000009,"GJK",1
51,0.78291983944721011,0.21496953594628515,"GJH",1
52,NULL,NULL,"HPED",1
53,0.72582263251025159,0.13004804055679672,"METH",1
54,0.26848918428302376,-0.91240363279932657,"GJB",1
55,0.46034490168726022,-0.27631870555753940,"SHAR",1
56,0.45985906735441645,-0.27762530874484087,"OLET",1
57,-0.07966642048403795,-0.00000000000000001,"LILH",1
58,0.76974567779401559,0.20612738571216085,"PTA",1
59,-0.27017867688075392,-0.00000000000000005,"HML",1
60,-0.40551471458508476,-0.00000000000000006,"WO",1
61,0.39094959618529324,-0.36845801894369618,"PKF",1
62,-0.49546802606361395,-0.00000000000000006,"TOHA",1
63,0.89390457978845572,0.35513933865800457,"PO",1
64,0.54676978466171677,-0.21661720918109492,"TRI",1
65,0.26795738103195232,-0.90900243188667518,"ØH",1
66,-0.40551471458508476,-0.00000000000000006,"OLOG",1
67,-0.38761761371944087,-0.00000000000000009,"MAGR",1
68,0.44495794159243207,-0.28766263247056406,"JTS",1
69,0.71443270592057218,0.16241592161841670,"IBTH",1
70,0.46034490168726011,-0.27724167618537382,"BLO",1
71,-0.49546802606361395,-0.00000000000000006,"EIRS",1
72,NULL,NULL,"TMI",1
73,0.72324314729160921,0.16824979881093133,"SHK",1
74,-0.38761761371944087,-0.00000000000000009,"GKG",1
75,0.80738871468891238,0.26532689280229743,"LRE",1
76,0.89697219866127120,0.35684688729545389,"ANA",1
77,0.79163816172049684,0.22134711878589383,"HTN",1
78,-0.45183942931350846,0.04278242059226640,"MN",1
79,0.47436204956924338,-0.24792465552694548,"IVK",1
80,0.72246613704237816,0.13662045699633862,"MOJ",1
81,-0.40551471458508476,-0.00000000000000006,"STRH",1
82,-0.49546802606361312,0.09048216734851038,"ESAN",1
83,0.82684949907216543,0.27263478750159731,"KKK",1
84,0.48473119286170796,-0.28763162383208885,"NA",1
85,-0.49546802606361395,-0.00000000000000006,"TBRE",1
86,0.81587200736395937,0.25835819478476041,"BTH",1
87,0.47666537773391060,-0.26325667947064402,"LCH",1
88,-0.40551471458508476,-0.00000000000000006,"FR",1
89,-0.49546802606361395,-0.00000000000000006,"TMS",1
90,-0.40551471458508476,-0.00000000000000006,"SUB",1
91,-0.49546802606361395,-0.00000000000000006,"SMY",1
92,NULL,NULL,"ALYS",1
93,-0.49546802606361395,-0.00000000000000006,"IRLN",1
94,-0.40551471458508476,-0.00000000000000006,"ATW",1
95,-0.47752062910450754,-0.00000000000000010,"TAS",1
96,NULL,NULL,"ATR",1
97,-0.40551471458508476,-0.00000000000000006,"TEF",1
98,0.47783741201710483,-0.27276471371636779,"ISC",1
99,0.46661597534416860,-0.27152409361719471,"BENH",1
100,0.46397587893760422,-0.28685028334785490,"SME",1
101,0.48451220831437758,-0.32666051318955158,"PEG",1
